Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water,Wind Speed
2000,1,1,0,0,0,0,0,0,0,0,14,174.45,1.722,2.9
2000,1,1,1,0,0,0,0,0,0,0,14,164.35,1.707,2.7
2000,1,1,2,0,0,0,0,0,0,0,13,151.36,1.691,2.3
2000,1,1,3,0,0,0,0,0,0,0,13,138.19,1.673,2
2000,1,1,4,0,0,0,0,0,0,0,12,125.09,1.658,1.7
2000,1,1,5,0,0,0,0,0,0,0,8,112.16,0.45,0.5
2000,1,1,6,0,0,0,0,0,0,0,8,99.63,0.447,0.6
2000,1,1,7,0,9,0,9,14,32,15,10,87.63,0.447,0.7
2000,1,1,8,0,117,83,137,105,330,182,14,76.44,0.449,0.7
2000,1,1,9,0,207,85,241,160,518,367,18,66.49,0.454,0.6
2000,1,1,10,0,273,131,342,192,621,517,23,58.44,0.461,0.8
2000,1,1,11,0,257,487,550,208,673,611,26,53.16,0.468,0.7
2000,1,1,12,0,217,640,616,212,686,640,27,51.52,0.47,0.4
2000,1,1,13,0,199,645,580,206,666,599,27,53.85,0.47,0.3
2000,1,1,14,0,183,581,477,187,607,494,26,59.7,0.467,0.3
2000,1,1,15,0,159,441,324,152,491,335,24,68.15,0.465,0.5
2000,1,1,16,0,99,168,133,91,282,148,20,78.36,0.464,0.7
2000,1,1,17,0,0,0,0,3,3,3,18,89.71,0.464,0.8
2000,1,1,18,0,0,0,0,0,0,0,17,101.83,0.466,0.8
2000,1,1,19,0,0,0,0,0,0,0,16,114.43,0.467,0.7
2000,1,1,20,0,0,0,0,0,0,0,15,127.36,0.469,0.4
2000,1,1,21,0,0,0,0,0,0,0,14,140.48,0.468,0.2
2000,1,1,22,0,0,0,0,0,0,0,13,153.65,0.466,0.2
2000,1,1,23,0,0,0,0,0,0,0,13,166.52,0.462,0.5
2000,1,2,0,0,0,0,0,0,0,0,12,174.44,0.458,0.7
2000,1,2,1,0,0,0,0,0,0,0,11,164.37,0.454,1
2000,1,2,2,0,0,0,0,0,0,0,11,151.38,0.45,1
2000,1,2,3,0,0,0,0,0,0,0,10,138.21,0.437,1
2000,1,2,4,0,0,0,0,0,0,0,10,125.11,0.423,0.7
2000,1,2,5,0,0,0,0,0,0,0,9,112.23,0.411,0.3
2000,1,2,6,0,0,0,0,0,0,0,9,99.69,0.399,0.2
2000,1,2,7,0,6,0,6,14,31,15,11,87.67,0.389,0.6
2000,1,2,8,0,107,48,119,105,333,183,15,76.47,0.381,0.9
2000,1,2,9,0,183,39,199,161,523,369,19,66.5,0.384,0.9
2000,1,2,10,0,233,18,243,192,627,521,24,58.42,0.39,0.8
2000,1,2,11,0,258,53,290,209,678,616,27,53.11,0.398,0.6
2000,1,2,12,0,286,462,575,213,692,645,28,51.43,0.405,0.5
2000,1,2,13,0,212,613,575,207,671,604,28,53.74,0.41,0.6
2000,1,2,14,0,183,583,479,188,612,498,27,59.57,0.415,0.6
2000,1,2,15,0,151,466,326,153,496,339,25,68.01,0.423,0.7
2000,1,2,16,0,99,232,147,92,288,151,20,78.22,0.428,0.6
2000,1,2,17,0,0,0,0,3,4,3,18,89.58,0.431,0.5
2000,1,2,18,0,0,0,0,0,0,0,17,101.7,0.433,0.5
2000,1,2,19,0,0,0,0,0,0,0,16,114.3,0.433,0.4
2000,1,2,20,0,0,0,0,0,0,0,15,127.23,0.432,0.4
2000,1,2,21,0,0,0,0,0,0,0,14,140.35,0.425,0.3
2000,1,2,22,0,0,0,0,0,0,0,14,153.52,0.417,0.5
2000,1,2,23,0,0,0,0,0,0,0,13,166.39,0.41,0.9
2000,1,3,0,0,0,0,0,0,0,0,12,174.37,0.403,1.3
2000,1,3,1,0,0,0,0,0,0,0,12,164.43,0.397,1.7
2000,1,3,2,0,0,0,0,0,0,0,11,151.46,0.393,1.8
2000,1,3,3,0,0,0,0,0,0,0,10,138.28,0.389,1.8
2000,1,3,4,0,0,0,0,0,0,0,10,125.18,0.387,1.6
2000,1,3,5,0,0,0,0,0,0,0,9,112.29,0.386,1.4
2000,1,3,6,0,0,0,0,0,0,0,9,99.74,0.386,1.2
2000,1,3,7,0,8,0,8,13,31,15,11,87.72,0.385,1.2
2000,1,3,8,0,103,39,113,105,332,183,15,76.5,0.383,1.3
2000,1,3,9,0,187,45,205,161,523,369,19,66.51,0.38,1.2
2000,1,3,10,0,274,131,343,193,628,522,24,58.4,0.377,1.3
2000,1,3,11,0,262,470,545,209,681,619,27,53.05,0.373,1.7
2000,1,3,12,0,217,643,619,214,696,649,28,51.34,0.369,1.9
2000,1,3,13,0,200,647,584,208,676,609,27,53.62,0.365,2
2000,1,3,14,0,188,577,482,189,618,503,27,59.44,0.363,2.1
2000,1,3,15,0,163,426,324,154,503,344,25,67.87,0.37,2.2
